turn,droped_cards_p1,droped_cards_p2,p1_point,p2_point,select_card,action,hand
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30, 8, 8, 4, 8, 17, 6, 19, 1, 1, 8, 1, 1, 8, 13, 8, 12, 6, 20]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53, 6, 6, 1, 15, 19, 6, 29, 6, 26, 1, 6, 6, 3, 17, 2, 1, 1, 16]",0,0,[],0,"[1, 7, 1, 1, 8, 16, 8, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30, 8, 8, 4, 8, 17, 6, 19, 1, 1, 8, 1, 1, 8, 13, 8, 12, 6, 20, 1]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53, 6, 6, 1, 15, 19, 6, 29, 6, 26, 1, 6, 6, 3, 17, 2, 1, 1, 16, 6]",0,0,[],0,"[1, 7, 1, 1, 8, 6, 8, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30, 8, 8, 4, 8, 17, 6, 19, 1, 1, 8, 1, 1, 8, 13, 8, 12, 6, 20, 1, 8]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53, 6, 6, 1, 15, 19, 6, 29, 6, 26, 1, 6, 6, 3, 17, 2, 1, 1, 16, 6, 7]",0,0,[],0,"[1, 7, 1, 1, 8, 8, 8, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30, 8, 8, 4, 8, 17, 6, 19, 1, 1, 8, 1, 1, 8, 13, 8, 12, 6, 20, 1, 8, 1]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53, 6, 6, 1, 15, 19, 6, 29, 6, 26, 1, 6, 6, 3, 17, 2, 1, 1, 16, 6, 7, 6]",0,0,[],0,"[1, 6, 1, 1, 8, 8, 8, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30, 8, 8, 4, 8, 17, 6, 19, 1, 1, 8, 1, 1, 8, 13, 8, 12, 6, 20, 1, 8, 1, 1]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53, 6, 6, 1, 15, 19, 6, 29, 6, 26, 1, 6, 6, 3, 17, 2, 1, 1, 16, 6, 7, 6, 1]",0,0,[],0,"[1, 1, 1, 1, 8, 8, 8, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30, 8, 8, 4, 8, 17, 6, 19, 1, 1, 8, 1, 1, 8, 13, 8, 12, 6, 20, 1, 8, 1, 1, 8]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53, 6, 6, 1, 15, 19, 6, 29, 6, 26, 1, 6, 6, 3, 17, 2, 1, 1, 16, 6, 7, 6, 1, 6]",0,0,[],0,"[1, 6, 1, 1, 8, 8, 8, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30, 8, 8, 4, 8, 17, 6, 19, 1, 1, 8, 1, 1, 8, 13, 8, 12, 6, 20, 1, 8, 1, 1, 8, 14]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53, 6, 6, 1, 15, 19, 6, 29, 6, 26, 1, 6, 6, 3, 17, 2, 1, 1, 16, 6, 7, 6, 1, 6, 3]",0,0,[],0,"[1, 3, 1, 1, 8, 8, 8, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30, 8, 8, 4, 8, 17, 6, 19, 1, 1, 8, 1, 1, 8, 13, 8, 12, 6, 20, 1, 8, 1, 1, 8, 14, 8]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53, 6, 6, 1, 15, 19, 6, 29, 6, 26, 1, 6, 6, 3, 17, 2, 1, 1, 16, 6, 7, 6, 1, 6, 3, 11]",0,0,[],0,"[1, 11, 1, 1, 8, 8, 8, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30, 8, 8, 4, 8, 17, 6, 19, 1, 1, 8, 1, 1, 8, 13, 8, 12, 6, 20, 1, 8, 1, 1, 8, 14, 8, 30]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53, 6, 6, 1, 15, 19, 6, 29, 6, 26, 1, 6, 6, 3, 17, 2, 1, 1, 16, 6, 7, 6, 1, 6, 3, 11, 16]",0,0,[],0,"[1, 16, 1, 1, 8, 8, 8, 15]"
1,"[6, 1, 1, 1, 6, 6, 13, 1, 1, 5, 6, 6, 1, 8, 18, 30, 8, 8, 4, 8, 17, 6, 19, 1, 1, 8, 1, 1, 8, 13, 8, 12, 6, 20, 1, 8, 1, 1, 8, 14, 8, 30, 9]","[1, 10, 9, 8, 1, 1, 8, 8, 8, 26, 5, 1, 20, 7, 10, 53, 6, 6, 1, 15, 19, 6, 29, 6, 26, 1, 6, 6, 3, 17, 2, 1, 1, 16, 6, 7, 6, 1, 6, 3, 11, 16, 14]",0,0,[],0,"[1, 14, 1, 1, 8, 8, 8, 15]"
